name,company,location,type,job category
Receptionist,IDS PLATFORM,"Sheikh Zayed, Giza, Egypt","Full Time, On-site",Receptionist | Senior Management |  Accounting/Finance |  Administration |  Sales/Retail |  Admin |  Microsoft Office |  Management |  receptionist |  Skills |  Microsoft |  Office management
Mechanical Technician - Automotive - KSA,Every Tec,"Cairo, Egypt","Full Time, On-site",Mechanical Technician - Automotive - KSA | Experienced |  Engineering - Mechanical/Electrical |  Automotive |  Mechanical |  technician |  Repair
Electrical Technician - Automotive - KSA,Every Tec,"Cairo, Egypt","Full Time, On-site",Electrical Technician - Automotive - KSA | Experienced |  Engineering - Mechanical/Electrical |  Maintenance |  Repair |  technician
HR Specialist,PowerCom,"Cairo, Egypt","Full Time, On-site",HR Specialist | Entry Level |  Human Resources |  HR |  Communication |  Personnel |  Recruitment |  business |  Administration |  Human Resources (HR) |  Labor Law
Personal Assistant,Shoura Chemicals,"Giza, Egypt","Full Time, On-site",Personal Assistant | Experienced |  Administration |  Personal |  Microsoft Office |  Secretary |  English |  Office management |  communications |  Administration
Planning Engineer,Multi M Group,"khanka, Qalubia, Egypt","Full Time, On-site",Planning Engineer | Experienced |  Project/Program Management |  Engineering - Mechanical/Electrical |  Engineering |  Manufacturing |  Project Management |  Planning |  Production |  SAP
Showroom Sales Promoter,Confidential,"Giza, Giza, Egypt","Full Time, On-site",Showroom Sales Promoter | Experienced |  Sales/Retail |  Sales |  Promoter |  Communication skills |  sales skills |  Communication |  Home appliances |  Electronics
.Net Developer,National Technology,"Nasr City, Cairo, Egypt","Full Time, Hybrid",.Net Developer | Experienced |  IT/Software Development |  .Net |  ASP.Net |  Computer Engineering |  Computer Science |  CSS |  HTML |  Information Technology (IT) |  JavaScript |  jQuery
Jr. Accountant,Confidential,"Heliopolis, Cairo, Egypt","Full Time, On-site",Jr. Accountant | Entry Level |  Accounting/Finance |  Finance |  Financial Accounting |  ERP |  Financial Reporting |  Commerce |  MS Office
Senior HR Specialist,NewTech Company,"Garden City, Cairo, Egypt","Full Time, On-site",Senior HR Specialist | Experienced |  Administration |  Human Resources |  HR |  Human Resources |  Human Resources (HR) |  HR Specialist |  Recruitment |  Personnel
Quality Assurance Section Head,Chema Foam,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",Quality Assurance Section Head | Experienced |  R&D/Science |  Manufacturing/Production |  Quality |  Quality Management |  Quality Assurance |  Management |  ISO 9001 |  ISO |  Engineering |  Chemistry
Commercial Specialist ( Minya),OPPO Egypt,"Menia, Minya, Egypt","Full Time, On-site",Commercial Specialist ( Minya) | Entry Level |  Analyst/Research |  Sales/Retail |  Accounting |  Finance |  Invoices |  Auditing |  Selling Database |  Selling Volume |  Analyst |  Commerce
Online Sales Specialist,Elite,"Maadi, Cairo, Egypt","Full Time, On-site",Online Sales Specialist | Entry Level |  Sales/Retail |  Communication |  Online Sales |  Sales |  sales skills |  Marketing |  SEO
Sales Representative,Elite,"Maadi, Cairo, Egypt","Full Time, On-site",Sales Representative | Entry Level |  Sales/Retail |  CRM |  Customer Service |  sales skills |  Sales Target |  Sales |  Negotiation
MEP Draftsman,System Technique,"Abu Rawash, Giza, Egypt","Full Time, On-site",MEP Draftsman | Entry Level |  Engineering - Mechanical/Electrical |  Design |  AutoCAD |  MEP |  Engineering |  Mep draftsman
Warehouse Storekeeper,Great Foods,"Bourj Alarab, Alexandria, Egypt","Full Time, On-site",Warehouse Storekeeper | Experienced |  Logistics/Supply Chain |  storekeeper |  Supply Chain |  Warehouse |  Warehousing |  Logistics |  Storekeeping
Marketing Specialist,IDS PLATFORM,"Maadi, Cairo, Egypt","Full Time, On-site",Marketing Specialist | Senior Management |  Marketing/PR/Advertising |  Sales/Retail |  Media/Journalism/Publishing |  Digital Marketing |  Computer Skills |  E-Marketing |  media |  Graphic Design
Technical Office Engineer,Samco,"Baghdad, Iraq","Full Time, On-site",Technical Office Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  3D |  CAD |  Civil |  Computer Science |  Construction |  Engineering |  Information Technology (IT) |  PMP
"Treasury Accountant (Banking, Cash, Payroll)",Global For Elevators and Esclators,"Heliopolis, Cairo, Egypt","Full Time, On-site","Treasury Accountant (Banking, Cash, Payroll) | Experienced |  Accounting/Finance |  Banking |  Accounting |  excel |  Finance |  General Ledger |  Treasury |  Accounting Software"
Senior IT Technical Support Engineer,NAB Designs,"Sheikh Zayed, Giza, Egypt","Part Time, On-site",Senior IT Technical Support Engineer | Experienced |  Installation/Maintenance/Repair |  IT/Software Development |  Computer Engineering |  Software |  Information Technology (IT) |  Hardware |  Technical Support |  Computer Hardware |  Computer Science |  Software Development
Human Resources Generalist,Duxcorp,"Sheraton, Cairo, Egypt","Full Time, On-site",Human Resources Generalist | Experienced |  Administration |  Customer Service/Support |  Human Resources |  Human Resources (HR) |  HR generalist |  HR |  Recruitment |  Human Resources |  Administration |  Personnel
Secretary,Allamna Integrated Solutions,"Nasr City, Cairo, Egypt","Full Time, On-site",Secretary | Entry Level |  Accounting/Finance |  Administration |  Customer Service/Support |  Administration |  Communication |  Microsoft Office |  Secretary |  Time Management |  Customer Care |  Customer Support
Telesales Representative,Qudra Tech,"Nasr City, Cairo, Egypt","Full Time, On-site",Telesales Representative | Experienced |  Business Development |  Customer Service/Support |  Sales/Retail |  Sales |  sales skills |  Telesales |  business |  Business Administration |  Customer Service |  Negotiation
Vodafone UK - Customer Service Representative (English Speakers),VOIS Egypt,"Cairo, Egypt","Full Time, Hybrid",Vodafone UK - Customer Service Representative (English Speakers) | Entry Level |  Customer Service/Support |  Communication skills |  Customer Service |  English |  Customer Support |  Fluent English Speakers |  Cairo |  Alexandria |  VOIS |  UK
VOIS - Vodafone UK account - International Account Advisor - Cairo,VOIS Egypt,"Cairo, Egypt","Full Time, Shift Based, Hybrid",VOIS - Vodafone UK account - International Account Advisor - Cairo | Entry Level |  Customer Service/Support |  Call Center |  Customer Service |  Customer Support |  Customer Care |  English |  C1 |  VOIS |  Vodafone UK |  Fresh grad
VOIS - Vodafone Ireland account - Call Center Representative,VOIS Egypt,"Cairo, Egypt","Full Time, Shift Based, Hybrid",VOIS - Vodafone Ireland account - Call Center Representative | Entry Level |  Customer Service/Support |  Call Center |  Customer Service |  Customer Support |  English |  VOIS |  Vodafone UK |  Hybrid |  International account advisor |  Customer Care
VOIS - Vodafone UK account - Customer Service Representative,VOIS Egypt,"Cairo, Egypt","Full Time, Shift Based, Hybrid",VOIS - Vodafone UK account - Customer Service Representative | Entry Level |  Customer Service/Support |  Call Center |  Customer Service |  Customer Support |  Customer Care |  English |  C1 |  VOIS |  Vodafone UK |  Fresh grad
VOIS - Vodafone UK account - Customer Care Representative - Alexandria,VOIS Egypt,"Cairo, Egypt","Full Time, Shift Based, Hybrid",VOIS - Vodafone UK account - Customer Care Representative - Alexandria | Entry Level |  Customer Service/Support |  Call Center |  Customer Service |  Customer Support |  Customer Care |  English |  C1 |  VOIS |  Vodafone UK |  Fresh grad
Planning Engineer,Samco,"Baghdad, Iraq","Full Time, On-site",Planning Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Project/Program Management |  Engineering - Mechanical/Electrical |  Engineering |  Planning |  PMP |  prmg |  Project Management |  Primavera
Export Sales Specialist,International Food & Consumable Goods  Egypt S.A.E,"6th of October, Giza, Egypt","Full Time, On-site",Export Sales Specialist | Experienced |  Logistics/Supply Chain |  Sales/Retail |  Export |  Export Sales
Industrial Sales Representative,Gtec,"New Cairo, Cairo, Egypt","Full Time, On-site",Industrial Sales Representative | Experienced |  Sales/Retail |  Engineering - Mechanical/Electrical |  Industrial Sales |  Sales representative |  sales skills |  Sales Target |  Sales |  AutoCAD |  Outdoor
Social Media Specialist,Spark Marketing agency,"Dokki, Giza, Egypt","Full Time, On-site",Social Media Specialist | Entry Level |  Marketing/PR/Advertising |  Digital |  digital media |  Communication |  E-Marketing |  Design |  English |  Online Marketing |  Social Media |  Writing
"Senior Mechanical Design Engineer ""HVAC,FF & Pluming""",Stylus,"New Cairo, Cairo, Egypt","Full Time, On-site","Senior Mechanical Design Engineer ""HVAC,FF & Pluming"" | Experienced |  Engineering - Construction/Civil/Architecture |  MEP |  Design |  Coordinator |  KSA |  Firefighting |  Plumbing |  HVAC |  Mechanical Engineering |  Mechanical, Electrical, and Plumbing (MEP)"
"Mechanical Design Engineer "" HVAC ,Fire Fighting & Plumbing """,Stylus,"New Cairo, Cairo, Egypt","Full Time, On-site","Mechanical Design Engineer "" HVAC ,Fire Fighting & Plumbing "" | Experienced |  Engineering - Construction/Civil/Architecture |  Engineering - Mechanical/Electrical |  Design |  Engineering |  Fire Fighting |  Revit |  Plumbing |  HVAC |  Firefighting |  Mechanical Engineering"
Customer Support Representative,Etisalat Egypt,"Maadi, Cairo, Egypt","Full Time, On-site",Customer Support Representative | Entry Level |  Customer Service/Support |  Sales/Retail |  Customer Care |  Customer |  Customer Service |  Customer Support |  English |  Microsoft |  Microsoft Office |  office
Continuous Improvement Engineer,Halwani Bros,"10th of Ramadan City, Cairo, Egypt","Full Time, On-site",Continuous Improvement Engineer | Experienced |  Operations/Management |  Engineering - Mechanical/Electrical |  Engineering - Other |  Continuous Improvement |  Six Sigma |  Manufacturing |  Engineering |  English |  Communication Skills |  Quality
Architect,Arkan Developments .,"Badr City, Cairo, Egypt","Full Time, On-site",Architect | Experienced |  Creative/Design/Art |  Architect |  Engineering |  3D |  3d max |  Architecture |  AutoCAD |  photoshop |  Building |  Construction
Account Officer,Elhassan Architects,"Hadayek Alahram, Giza, Egypt","Full Time, On-site",Account Officer | Experienced |  Accounting/Finance |  Customer Service/Support |  Account officer |  Accounting |  Finance |  Microsoft Office |  SAP |  Financial Analysis |  Tax Laws
Tax Manager,Confidential,"6th of October, Giza, Egypt","Full Time, On-site",Tax Manager | Manager |  Accounting/Finance |  Accounting |  Finance |  Financial Management |  Tax Accounting |  Tax |  Financial Analysis |  taxation
Technical Sales Engineer,Sigma for Imp & Exp & Opera hearing Solutions,"Minya, Egypt","Full Time, On-site",Technical Sales Engineer | Entry Level |  Customer Service/Support |  Sales/Retail |  Engineering - Other |  Biomedical |  Communication |  Communication Engineering |  Indoor Sales |  Outdoor Sales |  sales skills |  Sales
Investment Analyst,"The Micro, Small & Medium Enterprise Development Agency","Giza, Egypt","Full Time, On-site",Investment Analyst | Entry Level |  Analyst/Research |  analytical |  Finance |  Investment |  Business Administration |  equity |  Financial Analysis
Account Receivable Section Head,Decorative Glass And Arab Union Glass Group,"New Cairo, Cairo, Egypt","Full Time, On-site",Account Receivable Section Head | Senior Management |  Accounting/Finance |  Accounting |  ERP |  Finance |  Manufacturing |  Commerce |  Communication skills |  Financial Management
Environmental Health & Safety Supervisor,Zewail City,"6th of October, Giza, Egypt","Full Time, On-site",Environmental Health & Safety Supervisor | Experienced |  Other |  Health &amp; Safety |  Health |  Safety |  Environment
Branch Accountant (North Coast - El-Alamein),Elsewedy industries,"North Coast, Alexandria, Egypt","Full Time, On-site",Branch Accountant (North Coast - El-Alamein) | Experienced |  Accounting/Finance |  account receivables |  Accounting
Contract Engineer,Samco,"Baghdad, Iraq","Full Time, On-site",Contract Engineer | Experienced |  Engineering - Construction/Civil/Architecture |  Project/Program Management |  Construction |  Contracting |  Engineering |  Management |  PMP |  Project |  Project Management |  TO
SAP SD Consultant (Sales & Distribution),Sphinx Glass,"Alsadat City, Monufya, Egypt","Full Time, Freelance / Project, On-site",SAP SD Consultant (Sales & Distribution) | Experienced |  IT/Software Development |  Logistics/Supply Chain |  SAP SD |  SAP |  SD |  Sales |  Integration |  Information Technology (IT) |  English |  CRM
Senior BIM Document Controller,CSI,"Heliopolis, Cairo, Egypt","Full Time, On-site",Senior BIM Document Controller | Experienced |  Engineering - Construction/Civil/Architecture |  BIM |  Document Control |  Projects
